offline_datapoint_0 1646085859 17,621
offline_datapoint_0 1646085862 8,027
offline_datapoint_0 1646085865 4,586
offline_datapoint_0 1646085868 4,562
offline_datapoint_0 1646085871 3,893
offline_datapoint_0 1646085874 4,972
offline_datapoint_0 1646085877 4,809
offline_datapoint_0 1646085880 3,142
offline_datapoint_0 1646085883 5,566
offline_datapoint_0 1646085886 5,370
offline_datapoint_0 1646085889 5,194
offline_datapoint_0 1646085892 4,819
offline_datapoint_0 1646085895 4,418
offline_datapoint_0 1646085898 4,970
offline_datapoint_0 1646085901 4,194
offline_datapoint_0 1646085904 6,078
offline_datapoint_0 1646085907 4,842
offline_datapoint_0 1646085910 4,809
offline_datapoint_0 1646085913 4,691
offline_datapoint_0 1646085916 4,544
offline_datapoint_0 1646085919 4,851
offline_datapoint_0 1646085922 8,880
offline_datapoint_0 1646085925 15,427
offline_datapoint_0 1646085928 6,771
offline_datapoint_0 1646085931 3,940
offline_datapoint_0 1646085934 6,233
offline_datapoint_0 1646085937 4,027
offline_datapoint_0 1646085940 4,843
offline_datapoint_0 1646085943 4,973
offline_datapoint_0 1646085946 5,432
offline_datapoint_0 1646085949 4,548
offline_datapoint_0 1646085952 4,449
offline_datapoint_0 1646085955 4,818
offline_datapoint_0 1646085958 4,676
offline_datapoint_0 1646085961 5,094
offline_datapoint_0 1646085964 3,784
offline_datapoint_0 1646085967 4,935
offline_datapoint_0 1646085970 4,813
offline_datapoint_0 1646085973 4,316
offline_datapoint_0 1646085976 6,929
offline_datapoint_0 1646085979 62,383
offline_datapoint_0 1646085982 4,566
offline_datapoint_0 1646085985 4,855
offline_datapoint_0 1646085988 10,879
offline_datapoint_0 1646085991 12,120
offline_datapoint_0 1646085994 6,925
offline_datapoint_0 1646085997 4,842
offline_datapoint_0 1646086000 3,099
offline_datapoint_0 1646086003 4,446
offline_datapoint_0 1646086006 5,108
offline_datapoint_0 1646086009 3,870
offline_datapoint_0 1646086012 5,595
offline_datapoint_0 1646086015 5,100
offline_datapoint_0 1646086018 5,887
offline_datapoint_0 1646086021 4,001
offline_datapoint_0 1646086024 5,357
offline_datapoint_0 1646086027 4,203
offline_datapoint_0 1646086030 5,168
offline_datapoint_0 1646086033 4,291
offline_datapoint_0 1646086036 12,816
offline_datapoint_0 1646086039 3,511
offline_datapoint_0 1646086042 4,657
offline_datapoint_0 1646086045 11,629
offline_datapoint_0 1646086048 4,149
offline_datapoint_0 1646086051 5,070
offline_datapoint_0 1646086054 10,287
offline_datapoint_0 1646086057 11,898
offline_datapoint_0 1646086060 9,389
offline_datapoint_0 1646086063 4,653
offline_datapoint_0 1646086066 4,834
offline_datapoint_0 1646086069 3,127
