393 1646085524 0,200000 -1,000000 -101,000000 0,000000 0,000000
388 1646085525 1,600000 -1,000000 -101,000000 0,000000 0,000000
388 1646085526 1,600000 -1,000000 -101,000000 0,000000 0,000000
388 1646085527 1,600000 -1,000000 -101,000000 0,000000 0,000000
393 1646085525 0,200000 -1,000000 -101,000000 0,000000 0,000000
393 1646085526 0,200000 -1,000000 -101,000000 0,000000 0,000000
393 1646085527 0,200000 -1,000000 -101,000000 0,000000 0,000000
393 1646085528 0,400000 -1,000000 -101,000000 0,000000 0,000000
393 1646085529 0,400000 -1,000000 -101,000000 0,000000 0,000000
393 1646085530 0,400000 -1,000000 -101,000000 0,000000 0,000000
393 1646085531 0,400000 -1,000000 -101,000000 0,000000 0,000000
393 1646085532 0,400000 -1,000000 -101,000000 0,000000 0,000000
393 1646085533 0,400000 -1,000000 -101,000000 0,000000 0,000000
393 1646085534 0,400000 -1,000000 -101,000000 0,000000 0,000000
388 1646085533 0,600000 -1,000000 -101,000000 0,000000 0,000000
388 1646085534 0,600000 -1,000000 -101,000000 0,000000 0,000000
388 1646085535 0,600000 -1,000000 -101,000000 0,000000 0,000000
388 1646085536 0,600000 -1,000000 -101,000000 0,000000 0,000000
388 1646085537 0,600000 -1,000000 -101,000000 0,000000 0,000000
388 1646085538 11,800000 -1,000000 -101,000000 0,000000 0,000000
388 1646085539 11,800000 -1,000000 -101,000000 0,000000 0,000000
393 1646085535 0,400000 -1,000000 -101,000000 0,000000 0,000000
393 1646085536 0,400000 -1,000000 -101,000000 0,000000 0,000000
393 1646085537 0,400000 -1,000000 -101,000000 0,000000 0,000000
393 1646085538 0,600000 -1,000000 -101,000000 0,000000 0,000000
393 1646085539 0,600000 -1,000000 -101,000000 0,000000 0,000000
388 1646085540 11,800000 -1,000000 -101,000000 0,000000 0,000000
388 1646085541 11,800000 -1,000000 -101,000000 0,000000 0,000000
388 1646085542 11,800000 -1,000000 -101,000000 0,000000 0,000000
388 1646085543 0,800000 -1,000000 -101,000000 0,000000 0,000000
388 1646085544 0,800000 -1,000000 -101,000000 0,000000 0,000000
393 1646085540 0,600000 -1,000000 -101,000000 0,000000 0,000000
393 1646085541 0,600000 -1,000000 -101,000000 0,000000 0,000000
393 1646085542 0,600000 -1,000000 -101,000000 0,000000 0,000000
388 1646085545 0,800000 -1,000000 -101,000000 0,000000 0,000000
388 1646085546 0,800000 -1,000000 -101,000000 0,000000 0,000000
388 1646085547 0,800000 -1,000000 -101,000000 0,000000 0,000000
393 1646085548 0,200000 -1,000000 -101,000000 0,000000 0,000000
393 1646085549 0,200000 -1,000000 -101,000000 0,000000 0,000000
388 1646085553 0,400000 -1,000000 -101,000000 0,000000 0,000000
388 1646085554 0,400000 -1,000000 -101,000000 0,000000 0,000000
388 1646085555 0,400000 -1,000000 -101,000000 0,000000 0,000000
388 1646085556 0,400000 -1,000000 -101,000000 0,000000 0,000000
388 1646085557 0,400000 -1,000000 -101,000000 0,000000 0,000000
388 1646085558 0,200000 -1,000000 -101,000000 0,000000 0,000000
